Id. Biblioth�que actuelle;ppn;ID Localisation;Desc Cote Principale;count
LASH;011794534;SL1;034 QSJ 1066;0
LASH;083893881;SL1;034 QSJ 107;0
LASH;003085252;SL1;034 QSJ 1067;0
LASH;00069116X;SL1;034 QSJ 1068;0
LASH;024940321;SL1;034 QSJ 1071;0
LASH;011879807;SL1;034 QSJ 1063;0
LASH;007313705;SL1;034 QSJ 1063;0
LASH;060223693;SL1;034 QSJ 1064;0
LASH;009405062;SL1;034 QSJ 1069;0
LASH;045266158;SL1;034 QSJ 1064;0
LASH;003066959;SL1;034 QSJ 1076;0
LASH;001873830;SL1;034 QSJ 1072;0
LASH;000449148;SL1;034 QSJ 1076;0
LASH;003857018;SL1;034 QSJ 1078;0
LASH;001858645;SL1;034 QSJ 1077;0
LASH;009289453;SL1;034 QSJ 1079;0
LASH;007322038;SL1;034 QSJ 1078;0
LASH;000692514;SL1;034 QSJ 1074;0
LASH;010175563;SL1;034 QSJ 1081;0
LASH;01207991X;SL1;034 QSJ 1081;0
LASH;000536350;SL1;034 QSJ 108;0
LASH;008062080;SL1;034 QSJ 108;0
LASH;007322798;SL1;034 QSJ 1082;0
LASH;012152188;SL1;034 QSJ 1083;24
LASH;006039731;SL1;034 QSJ 1086;11
LASH;067203906;SL1;034 QSJ 1088;71
LASH;001801570;SL1;034 QSJ 1088;13
LASH;067203906;SL1;034 QSJ 1088;71
LASH;067203906;SL1;034 QSJ 1088;71
LASH;009291806;SL1;034 QSJ 1088;23
LASH;004050916;SL1;034 QSJ 1098;73
LASH;052413187;SL1;034 QSJ 1105;7
LASH;004050916;SL1;034 QSJ 1098;73
LASH;055476597;SL1;034 QSJ 1113;42
LASH;007319312;SL1;034 QSJ 1098;35
LASH;067203906;SL1;034 QSJ 1088;71
LASH;004050916;SL1;034 QSJ 1098;73
LASH;007321260;SL1;034 QSJ 1087;26
LASH;00731938X;SL1;034 QSJ 1096;36
LASH;024559016;SL1;034 QSJ 1106;35
LASH;024559016;SL1;034 QSJ 1106;35
LASH;009796975;SL1;034 QSJ 1086;4
LASH;004050916;SL1;034 QSJ 1098;73
LASH;004050916;SL1;034 QSJ 1098;73
LASH;007319312;SL1;034 QSJ 1098;35
LASH;007319312;SL1;034 QSJ 1098;35
LASH;011727810;SL1;034 QSJ 1091;0
LASH;007319428;SL1;034 QSJ 1124;0
LASH;010475826;SL1;034 QSJ 1123;0
LASH;024832820;SL1;034 QSJ 1115;0
LASH;087762269;SL1;034 QSJ 1113;0
LASH;011994193;SL1;034 QSJ 1127;0
LASH;001863975;SL1;034 QSJ 1118;0
LASH;004717996;SL1;034 QSJ 1108;0
LASH;01649749X;SL1;034 QSJ 1122;0
LASH;010468366;SL1;034 QSJ 1141;0
LASH;007317867;SL1;034 QSJ 1136;0
LASH;013485156;SL1;034 QSJ 1137;0
LASH;087762269;SL1;034 QSJ 1113;0
LASH;00929211X;SL1;034 QSJ 1135;0
LASH;001805738;SL1;034 QSJ 1125;0
LASH;010495223;SL1;034 QSJ 1139;0
LASH;007318782;SL1;034 QSJ 1117;0
LASH;009291989;SL1;034 QSJ 1107;0
LASH;01649749X;SL1;034 QSJ 1122;0
LASH;007319312;SL1;034 QSJ 1098;0
LASH;000966479;SL1;034 QSJ 1105;0
LASH;009405542;SL1;034 QSJ 1124;0
LASH;00177977X;SL1;034 QSJ 1113;0
LASH;004050916;SL1;034 QSJ 1098;0
LASH;009291989;SL1;034 QSJ 1107;0
LASH;012318086;SL1;034 QSJ 1122;0
LASH;007319207;SL1;034 QSJ 1116;0
LASH;010472991;SL1;034 QSJ 1142;0
LASH;007357109;SL1;034 QSJ 1140;0
LASH;01141409X;SL1;034 QSJ 1147;0
LASH;010472991;SL1;034 QSJ 1142;0
LASH;007318812;SL1;034 QSJ 1141;0
LASH;006049923;SL1;034 QSJ 1147;0
LASH;004790669;SL1;034 QSJ 1136;0
LASH;01141409X;SL1;034 QSJ 1147;0
LASH;007318383;SL1;034 QSJ 1128;0
LASH;001806238;SL1;034 QSJ 1138;0
LASH;076400298;SL1;034 QSJ 114;0
LASH;005687675;SL1;034 QSJ 1142;0
LASH;008908311;SL1;034 QSJ 1146;0
LASH;007318847;SL1;034 QSJ 1134;0
LASH;006050239;SL1;034 QSJ 1149;0
LASH;011568283;SL1;034 QSJ 1138;0
LASH;01141409X;SL1;034 QSJ 1147;0
LASH;007318383;SL1;034 QSJ 1128;0
LASH;010866582;SL1;034 QSJ 1139;0
LASH;008603499;SL1;034 QSJ 1144;0
LASH;010488286;SL1;034 QSJ 1155;0
LASH;011482281;SL1;034 QSJ 1153;0
LASH;010984496;SL1;034 QSJ 1169;0
LASH;009299327;SL1;034 QSJ 1157;0
LASH;007349122;SL1;034 QSJ 1172;0
LASH;054060559;SL1;034 QSJ 1159;0
LASH;007353995;SL1;034 QSJ 1164;0
LASH;007317735;SL1;034 QSJ 1154;0
LASH;007349122;SL1;034 QSJ 1172;0
LASH;001804987;SL1;034 QSJ 1154;0
LASH;008152748;SL1;034 QSJ 1155;0
LASH;054060559;SL1;034 QSJ 1159;0
LASH;009292330;SL1;034 QSJ 1150;0
LASH;00182497X;SL1;034 QSJ 1176;0
LASH;005545714;SL1;034 QSJ 1178;0
LASH;010492798;SL1;034 QSJ 1174;0
LASH;002577984;SL1;034 QSJ 1172;0
LASH;014418940;SL1;034 QSJ 1187;0
LASH;011084782;SL1;034 QSJ 1175;0
LASH;007350856;SL1;034 QSJ 1179;0
LASH;001901842;SL1;034 QSJ 1168;0
LASH;011213760;SL1;034 QSJ 1171;0
LASH;007352905;SL1;034 QSJ 1174;0
LASH;001874292;SL1;034 QSJ 1179;0
LASH;009299394;SL1;034 QSJ 1187;0
LASH;009299394;SL1;034 QSJ 1187;0
LASH;011804513;SL1;034 QSJ 1172;0
LASH;001866990;SL1;034 QSJ 1165;0
LASH;004868927;SL1;034 QSJ 1179;0
LASH;007349122;SL1;034 QSJ 1172;0
LASH;011729341;SL1;034 QSJ 1188;32
LASH;002833255;SL1;034 QSJ 1187;26
LASH;081846835;SL1;034 QSJ 1188;58
LASH;081846835;SL1;034 QSJ 1188;58
LASH;000966916;SL1;034 QSJ 1189;32
LASH;008247862;SL1;034 QSJ 1194;12
LASH;084755725;SL1;034 QSJ 1194;36
LASH;015141403;SL1;034 QSJ 1189;20
LASH;011053585;SL1;034 QSJ 1206;34
LASH;007348649;SL1;034 QSJ 1193;46
LASH;048160881;SL1;034 QSJ 1207;5
LASH;004876393;SL1;034 QSJ 1197;44
LASH;009299432;SL1;034 QSJ 1192;26
LASH;084755725;SL1;034 QSJ 1194;36
LASH;086287532;SL1;034 QSJ 1207;67
LASH;001802216;SL1;034 QSJ 1192;16
LASH;007859805;SL1;034 QSJ 1196;19
LASH;00735262X;SL1;034 QSJ 1199;48
LASH;000060364;SL1;034 QSJ 1209;9
LASH;086287532;SL1;034 QSJ 1207;67
LASH;008247862;SL1;034 QSJ 1194;12
LASH;007348789;SL1;034 QSJ 1189;32
LASH;084755725;SL1;034 QSJ 1194;36
LASH;002578654;SL1;034 QSJ 1194;34
LASH;000735353;SL1;034 QSJ 1207;12
LASH;007349394;SL1;034 QSJ 1214;0
LASH;049244981;SL1;034 QSJ 1225;0
LASH;004423046;SL1;034 QSJ 1209;0
LASH;007349394;SL1;034 QSJ 1214;0
LASH;00018540X;SL1;034 QSJ 1223;0
LASH;049244981;SL1;034 QSJ 1225;0
LASH;001852221;SL1;034 QSJ 1210;0
LASH;127871020;SL1;034 QSJ 1203;0
LASH;009406069;SL1;034 QSJ 1227;0
LASH;019547390;SL1;034 QSJ 1210;0
LASH;004423046;SL1;034 QSJ 1209;0
LASH;004432525;SL1;034 QSJ 1214;0
LASH;024716952;SL1;034 QSJ 1216;0
LASH;045266581;SL1;034 QSJ 1191;0
LASH;004423046;SL1;034 QSJ 1209;0
LASH;010864903;SL1;034 QSJ 1213;0
LASH;00152061X;SL1;034 QSJ 1219;0
LASH;003057232;SL1;034 QSJ 1213;0
LASH;007344309;SL1;034 QSJ 1218;0
LASH;001074695;SL1;034 QSJ 1225;0
LASH;004432525;SL1;034 QSJ 1214;0
LASH;010394192;SL1;034 QSJ 1226;0
LASH;051643391;SL1;034 QSJ 1229;0
LASH;007344473;SL1;034 QSJ 1215;0
LASH;051643391;SL1;034 QSJ 1229;0
LASH;005675561;SL1;034 QSJ 1230;0
LASH;001806254;SL1;034 QSJ 1229;0
LASH;079539556;SL1;034 QSJ 1231;0
LASH;00292899X;SL1;034 QSJ 1229;0
LASH;046648496;SL1;034 QSJ 123;0
LASH;003592111;SL1;034 QSJ 1229;0
LASH;079539556;SL1;034 QSJ 1231;0
LASH;055150705;SL1;034 QSJ 1237;0
LASH;098882708;SL1;034 QSJ 1238;0
LASH;001806181;SL1;034 QSJ 1238;0
LASH;055150705;SL1;034 QSJ 1237;0
LASH;007348444;SL1;034 QSJ 1238;0
LASH;007335067;SL1;034 QSJ 1234;0
LASH;052993388;SL1;034 QSJ 1239;0
LASH;006050700;SL1;034 QSJ 1239;0
LASH;007557620;SL1;034 QSJ 1240;0
LASH;098882708;SL1;034 QSJ 1238;0
LASH;052993388;SL1;034 QSJ 1239;0
LASH;007350902;SL1;034 QSJ 1242;0
LASH;052993388;SL1;034 QSJ 1239;0
LASH;001821776;SL1;034 QSJ 1245;0
LASH;006039960;SL1;034 QSJ 1247;0
LASH;137935153;SL1;034 QSJ 1245;0
LASH;002264862;SL1;034 QSJ 1238;0
LASH;001804251;SL1;034 QSJ 1237;0
LASH;001804936;SL1;034 QSJ 1240;0
LASH;052993388;SL1;034 QSJ 1239;0
LASH;006885667;SL1;034 QSJ 1244;0
LASH;010668543;SL1;034 QSJ 1245;0
LASH;007941811;SL1;034 QSJ 1264;0
LASH;008904340;SL1;034 QSJ 1249;0
LASH;012196479;SL1;034 QSJ 1259;0
LASH;007941811;SL1;034 QSJ 1264;0
LASH;009302999;SL1;034 QSJ 1271;0
LASH;009302840;SL1;034 QSJ 1244;0
LASH;007343728;SL1;034 QSJ 1253;0
LASH;009209433;SL1;034 QSJ 1266;0
LASH;007368526;SL1;034 QSJ 1275;0
LASH;009412425;SL1;034 QSJ 1277;0
LASH;009303049;SL1;034 QSJ 1279;0
LASH;024822566;SL1;034 QSJ 1262;0
LASH;009302999;SL1;034 QSJ 1271;0
LASH;001810618;SL1;034 QSJ 1262;0
LASH;012196479;SL1;034 QSJ 1259;0
LASH;001702769;SL1;034 QSJ 1275;0
LASH;009356185;SL1;034 QSJ 1261;0
LASH;006543391;SL1;034 QSJ 1279;7
LASH;045227942;SL1;034 QSJ 1306;14
LASH;009321101;SL1;034 QSJ 1281;40
LASH;061626244;SL1;034 QSJ 128;49
LASH;061626244;SL1;034 QSJ 128;49
LASH;007368275;SL1;034 QSJ 1291;31
LASH;004050231;SL1;034 QSJ 1292;32
LASH;004050231;SL1;034 QSJ 1292;32
LASH;00453350X;SL1;034 QSJ 1291;66
LASH;001842447;SL1;034 QSJ 1291;12
LASH;00186209X;SL1;034 QSJ 1287;19
LASH;001847090;SL1;034 QSJ 1289;23
LASH;001825968;SL1;034 QSJ 1284;14
LASH;009316396;SL1;034 QSJ 1283;32
LASH;006042112;SL1;034 QSJ 1285;49
LASH;009321497;SL1;034 QSJ 1295;31
LASH;140099239;SL1;034 QSJ 1306;80
LASH;140099239;SL1;034 QSJ 1306;80
LASH;140099239;SL1;034 QSJ 1306;80
LASH;007371438;SL1;034 QSJ 1298;54
LASH;009354530;SL1;034 QSJ 1301;50
LASH;00932125X;SL1;034 QSJ 1292;30
LASH;140099239;SL1;034 QSJ 1306;80
LASH;006042112;SL1;034 QSJ 1285;49
LASH;15668828X;SL1;034 QSJ 1306;68
LASH;061799491;SL1;034 QSJ 1306;0
LASH;005716624;SL1;034 QSJ 1302;0
LASH;001276417;SL1;034 QSJ 1302;0
LASH;007391056;SL1;034 QSJ 1304;0
LASH;007371438;SL1;034 QSJ 1298;0
LASH;013437585;SL1;034 QSJ 1286;0
LASH;000375195;SL1;034 QSJ 1295;0
LASH;009323767;SL1;034 QSJ 1311;0
LASH;009323767;SL1;034 QSJ 1311;0
LASH;061799491;SL1;034 QSJ 1306;0
LASH;15668828X;SL1;034 QSJ 1306;0
LASH;014463539;SL1;034 QSJ 1310;0
LASH;002577895;SL1;034 QSJ 1309;0
LASH;007383444;SL1;034 QSJ 1308;0
LASH;009323767;SL1;034 QSJ 1311;0
LASH;002577895;SL1;034 QSJ 1309;0
LASH;012929646;SL1;034 QSJ 1314;0
LASH;012643599;SL1;034 QSJ 1321;0
LASH;002938286;SL1;034 QSJ 1319;0
LASH;008151938;SL1;034 QSJ 132;0
LASH;081778716;SL1;034 QSJ 1311;0
LASH;003739155;SL1;034 QSJ 1314;0
LASH;075418517;SL1;034 QSJ 1319;0
LASH;132418428;SL1;034 QSJ 1328;0
LASH;009323767;SL1;034 QSJ 1311;0
LASH;00737139X;SL1;034 QSJ 1323;0
LASH;009323767;SL1;034 QSJ 1311;0
LASH;007390874;SL1;034 QSJ 1315;0
LASH;069643598;SL1;034 QSJ 1327;0
LASH;132418428;SL1;034 QSJ 1328;0
LASH;007379145;SL1;034 QSJ 1331;0
LASH;003596486;SL1;034 QSJ 1309;0
LASH;003293513;SL1;034 QSJ 1321;0
LASH;003106373;SL1;034 QSJ 1311;0
LASH;002265338;SL1;034 QSJ 1312;0
LASH;001805835;SL1;034 QSJ 1309;0
LASH;075418517;SL1;034 QSJ 1319;0
LASH;081778716;SL1;034 QSJ 1311;0
LASH;009323767;SL1;034 QSJ 1311;0
LASH;012999717;SL1;034 QSJ 1330;0
LASH;007371322;SL1;034 QSJ 1328;0
LASH;007371322;SL1;034 QSJ 1328;0
LASH;123531039;SL1;034 QSJ 1333;0
LASH;123531039;SL1;034 QSJ 1333;0
LASH;009224793;SL1;034 QSJ 1345;0
LASH;002295016;SL1;034 QSJ 1362;0
LASH;004966252;SL1;034 QSJ 1346;0
LASH;007380895;SL1;034 QSJ 1340;0
LASH;003006549;SL1;034 QSJ 1334;0
LASH;000073970;SL1;034 QSJ 1338;0
LASH;002294974;SL1;034 QSJ 1354;0
LASH;012257311;SL1;034 QSJ 1338;0
LASH;003883523;SL1;034 QSJ 1362;0
LASH;001051008;SL1;034 QSJ 1349;0
LASH;004523245;SL1;034 QSJ 1359;0
